iter	Passed	Remaining
0	0	96
1	1	91
2	2	87
3	3	81
4	4	80
5	5	80
6	5	79
7	6	78
8	7	78
9	8	77
10	9	76
11	10	76
12	11	75
13	12	74
14	13	73
15	13	73
16	14	72
17	15	71
18	16	71
19	17	70
20	18	69
21	19	68
22	20	68
23	21	67
24	22	66
25	22	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	28	60
32	29	59
33	30	58
34	31	57
35	32	56
36	32	56
37	33	55
38	34	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	37
57	51	37
58	51	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	68	19
78	68	18
79	69	17
80	70	16
81	71	15
82	72	14
83	72	13
84	73	13
85	74	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	81	4
95	82	3
96	83	2
97	84	1
98	85	0
99	85	0
